timestep,vehicle_id,vehicle_type,charging_station,battery_soc_percent
159.0,easybike_05,easyBike,ebus_depot_n3,49.63397142857143
160.0,easybike_05,easyBike,ebus_depot_n3,49.75294285714285
161.0,easybike_05,easyBike,ebus_depot_n3,49.87191428571428
162.0,easybike_05,easyBike,ebus_depot_n3,49.99088571428572
163.0,easybike_05,easyBike,ebus_depot_n3,50.10985714285715
164.0,easybike_05,easyBike,ebus_depot_n3,50.22880000000001
165.0,easybike_05,easyBike,ebus_depot_n3,50.347771428571434
166.0,easybike_05,easyBike,ebus_depot_n3,50.466742857142854
167.0,easybike_05,easyBike,ebus_depot_n3,50.58571428571429
168.0,easybike_05,easyBike,ebus_depot_n3,50.704685714285716
169.0,easybike_05,easyBike,ebus_depot_n3,50.82365714285714
170.0,easybike_05,easyBike,ebus_depot_n3,50.942600000000006
171.0,easybike_05,easyBike,ebus_depot_n3,51.061571428571426
172.0,easybike_05,easyBike,ebus_depot_n3,51.180542857142854
173.0,easybike_05,easyBike,ebus_depot_n3,51.29951428571429
174.0,easybike_05,easyBike,ebus_depot_n3,51.41848571428572
175.0,easybike_05,easyBike,ebus_depot_n3,51.53745714285714
176.0,easybike_05,easyBike,ebus_depot_n3,51.656400000000005
177.0,easybike_05,easyBike,ebus_depot_n3,51.775371428571425
178.0,easybike_05,easyBike,ebus_depot_n3,51.89434285714286
179.0,easybike_05,easyBike,ebus_depot_n3,52.01331428571429
180.0,easybike_05,easyBike,ebus_depot_n3,52.13228571428571
181.0,easybike_05,easyBike,ebus_depot_n3,52.25125714285714
182.0,easybike_05,easyBike,ebus_depot_n3,52.3702
183.0,easybike_05,easyBike,ebus_depot_n3,52.489171428571424
184.0,easybike_05,easyBike,ebus_depot_n3,52.608142857142845
185.0,easybike_05,easyBike,ebus_depot_n3,52.72711428571429
186.0,easybike_05,easyBike,ebus_depot_n3,52.84608571428572
187.0,easybike_05,easyBike,ebus_depot_n3,52.96505714285714
188.0,easybike_05,easyBike,ebus_depot_n3,53.08400000000001
189.0,easybike_05,easyBike,ebus_depot_n3,53.20297142857143
190.0,easybike_05,easyBike,ebus_depot_n3,53.32194285714286
191.0,easybike_05,easyBike,ebus_depot_n3,53.44091428571428
192.0,easybike_05,easyBike,ebus_depot_n3,53.55988571428571
193.0,easybike_05,easyBike,ebus_depot_n3,53.67885714285714
194.0,easybike_05,easyBike,ebus_depot_n3,53.797799999999995
195.0,easybike_05,easyBike,ebus_depot_n3,53.91677142857143
196.0,easybike_05,easyBike,ebus_depot_n3,54.03574285714286
197.0,easybike_05,easyBike,ebus_depot_n3,54.15471428571429
198.0,easybike_05,easyBike,ebus_depot_n3,54.27368571428571
199.0,easybike_05,easyBike,ebus_depot_n3,54.392657142857146
200.0,easybike_05,easyBike,ebus_depot_n3,54.5116
201.0,easybike_05,easyBike,ebus_depot_n3,54.63057142857143
202.0,easybike_05,easyBike,ebus_depot_n3,54.74954285714285
203.0,easybike_05,easyBike,ebus_depot_n3,54.868514285714284
204.0,easybike_05,easyBike,ebus_depot_n3,54.98748571428571
205.0,easybike_05,easyBike,ebus_depot_n3,55.10645714285714
206.0,easybike_05,easyBike,ebus_depot_n3,55.2254
207.0,easybike_05,easyBike,ebus_depot_n3,55.34437142857143
208.0,easybike_05,easyBike,ebus_depot_n3,55.46334285714285
209.0,easybike_05,easyBike,ebus_depot_n3,55.58231428571428
210.0,easybike_05,easyBike,ebus_depot_n3,55.70128571428572
211.0,easybike_05,easyBike,ebus_depot_n3,55.82022857142858
212.0,easybike_05,easyBike,ebus_depot_n3,55.9392
213.0,easybike_05,easyBike,ebus_depot_n3,56.058171428571434
214.0,easybike_05,easyBike,ebus_depot_n3,56.17714285714286
215.0,easybike_05,easyBike,ebus_depot_n3,56.29611428571428
216.0,easybike_05,easyBike,ebus_depot_n3,56.41508571428571
217.0,easybike_05,easyBike,ebus_depot_n3,56.53402857142857
218.0,easybike_05,easyBike,ebus_depot_n3,56.653
219.0,easybike_05,easyBike,ebus_depot_n3,56.77197142857142
220.0,easybike_05,easyBike,ebus_depot_n3,56.89094285714285
221.0,easybike_05,easyBike,ebus_depot_n3,57.00991428571429
222.0,easybike_05,easyBike,ebus_depot_n3,57.128885714285715
223.0,easybike_05,easyBike,ebus_depot_n3,57.24782857142857
224.0,easybike_05,easyBike,ebus_depot_n3,57.366800000000005
225.0,easybike_05,easyBike,ebus_depot_n3,57.48577142857143
226.0,easybike_05,easyBike,ebus_depot_n3,57.60474285714285
227.0,easybike_05,easyBike,ebus_depot_n3,57.72371428571428
228.0,easybike_05,easyBike,ebus_depot_n3,57.842685714285714
229.0,easybike_05,easyBike,ebus_depot_n3,57.96162857142857
230.0,easybike_05,easyBike,ebus_depot_n3,58.08059999999999
231.0,easybike_05,easyBike,ebus_depot_n3,58.19957142857143
232.0,easybike_05,easyBike,ebus_depot_n3,58.318542857142866
233.0,easybike_05,easyBike,ebus_depot_n3,58.437514285714286
234.0,easybike_05,easyBike,ebus_depot_n3,58.556485714285714
235.0,easybike_05,easyBike,ebus_depot_n3,58.675428571428576
236.0,easybike_05,easyBike,ebus_depot_n3,58.7944
237.0,easybike_05,easyBike,ebus_depot_n3,58.91337142857142
238.0,easybike_05,easyBike,ebus_depot_n3,59.03234285714286
239.0,easybike_05,easyBike,ebus_depot_n3,59.151314285714285
240.0,easybike_05,easyBike,ebus_depot_n3,59.270285714285706
241.0,easybike_05,easyBike,ebus_depot_n3,59.38922857142857
242.0,easybike_05,easyBike,ebus_depot_n3,59.5082
243.0,easybike_05,easyBike,ebus_depot_n3,59.62717142857142
244.0,easybike_05,easyBike,ebus_depot_n3,59.74614285714286
245.0,easybike_05,easyBike,ebus_depot_n3,59.86511428571429
246.0,easybike_05,easyBike,ebus_depot_n3,59.98408571428572
247.0,easybike_05,easyBike,ebus_depot_n3,60.103028571428574
248.0,easybike_05,easyBike,ebus_depot_n3,60.221999999999994
249.0,easybike_05,easyBike,ebus_depot_n3,60.340971428571436
250.0,easybike_05,easyBike,ebus_depot_n3,60.459942857142856
251.0,easybike_05,easyBike,ebus_depot_n3,60.57891428571428
252.0,easybike_05,easyBike,ebus_depot_n3,60.697885714285704
253.0,easybike_05,easyBike,ebus_depot_n3,60.81682857142857
254.0,easybike_05,easyBike,ebus_depot_n3,60.93579999999999
