timestep_sec,vehicle_id,vehicle_type,current_soc_percent,nearest_station,route_length_m
180.0,easyBike_forward3.0,easyBike,30.0,pa_8,2571.5
181.0,easyBike_reverse2.0,easyBike,29.99,pa_3_rev,3478.78
182.0,easyBike_forward4.0,easyBike,29.99,pa_8,3431.37
187.0,easyBike_forward1.0,easyBike,29.99,pa_3,3033.77
187.0,easyBike_forward2.0,easyBike,29.99,pa_3,3378.11
187.0,easyBike_reverse3.0,easyBike,30.0,pa_6_rev,2409.51
188.0,easyBike_reverse4.0,easyBike,29.99,pa_2_rev,3480.36
190.0,easyBike_reverse1.0,easyBike,29.99,pa_3_rev,2469.89
221.0,easyBike_reverse1.1,easyBike,29.99,pa_3_rev,2469.89
237.0,easyBike_forward1.1,easyBike,30.0,pa_3,3033.77
246.0,easyBike_forward2.1,easyBike,29.99,pa_3,3378.11
251.0,easyBike_forward3.1,easyBike,29.99,pa_8,2571.5
256.0,easyBike_forward4.1,easyBike,30.0,pa_8,3431.37
265.0,eRickshaw_forward1.0,eRickshaw,30.0,pa_8_rev,7012.07
265.0,easyBike_reverse2.1,easyBike,29.99,pa_3_rev,3478.78
267.0,eRickshaw_reverse2.0,eRickshaw,30.0,pa_2_rev,2519.89
268.0,easyBike_reverse2.2,easyBike,29.99,pa_2_rev,3528.78
270.0,easyBike_reverse4.1,easyBike,30.0,pa_2_rev,3480.36
271.0,eRickshaw_reverse3.0,eRickshaw,30.0,pa_6_rev,1486.21
272.0,eRickshaw_forward2.0,eRickshaw,30.0,pa_8_rev,6288.17
272.0,eRickshaw_forward3.0,eRickshaw,30.0,pa_8,2571.5
272.0,easyBike_reverse3.1,easyBike,29.99,pa_6_rev,2409.51
275.0,eRickshaw_reverse1.0,eRickshaw,30.0,pa_6,4864.87
277.0,eRickshaw_forward4.0,eRickshaw,30.0,pa_6,6758.36
280.0,easyBike_reverse1.2,easyBike,29.97,pa_6,4864.87
289.0,eRickshaw_reverse4.0,eRickshaw,30.0,pa_6,4904.72
289.0,easyBike_forward1.2,easyBike,30.0,pa_8_rev,6762.88
291.0,easyBike_reverse3.2,easyBike,29.99,pa_6_rev,2409.51
300.0,easyBike_reverse1.3,easyBike,29.99,pa_6,4864.87
306.0,easyBike_reverse4.2,easyBike,29.99,pa_8_rev,3530.36
307.0,easyBike_forward2.2,easyBike,29.99,pa_8_rev,7107.22
307.0,easyBike_reverse4.2,easyBike,29.98,pa_8_rev,3530.36
308.0,easyBike_reverse4.2,easyBike,29.97,pa_8_rev,3530.36
309.0,easyBike_reverse4.2,easyBike,29.96,pa_8_rev,3530.36
310.0,easyBike_reverse4.2,easyBike,29.95,pa_8_rev,3530.36
311.0,easyBike_reverse4.2,easyBike,29.94,pa_8_rev,3530.36
312.0,easyBike_reverse4.2,easyBike,29.93,pa_8_rev,3530.36
313.0,easyBike_reverse4.2,easyBike,29.92,pa_8_rev,3530.36
314.0,easyBike_reverse4.2,easyBike,29.91,pa_8_rev,3530.36
315.0,easyBike_reverse4.2,easyBike,29.9,pa_8_rev,3530.36
316.0,easyBike_reverse4.2,easyBike,29.89,pa_8_rev,3530.36
317.0,easyBike_reverse4.2,easyBike,29.87,pa_8_rev,3530.36
318.0,easyBike_reverse4.2,easyBike,29.86,pa_8_rev,3530.36
319.0,easyBike_reverse4.2,easyBike,29.85,pa_8_rev,3530.36
320.0,easyBike_reverse4.2,easyBike,29.84,pa_8_rev,3530.36
321.0,easyBike_reverse4.2,easyBike,29.83,pa_8_rev,3530.36
322.0,easyBike_reverse4.2,easyBike,29.82,pa_8_rev,3530.36
323.0,easyBike_reverse4.2,easyBike,29.82,pa_8_rev,3530.36
324.0,easyBike_reverse4.2,easyBike,29.8,pa_8_rev,3530.36
325.0,easyBike_forward3.2,easyBike,29.99,pa_7,6998.36
325.0,easyBike_reverse4.2,easyBike,29.84,pa_8_rev,3530.36
329.0,easyBike_reverse4.2,easyBike,29.7,pa_7,5144.72
338.0,easyBike_forward1.3,easyBike,30.0,pa_8_rev,6762.88
338.0,easyBike_forward4.2,easyBike,30.0,pa_6_rev,5775.86
356.0,easyBike_reverse2.3,easyBike,30.0,pa_7,6113.76
358.0,eRickshaw_reverse2.1,eRickshaw,30.0,pa_7,5104.87
359.0,easyBike_reverse3.3,easyBike,30.0,pa_7_rev,2649.51
363.0,eRickshaw_reverse1.1,eRickshaw,30.0,pa_7_rev,8742.21
365.0,easyBike_forward2.3,easyBike,29.99,pa_7_rev,7907.74
365.0,easyBike_reverse2.4,easyBike,30.0,pa_7_rev,9751.1
369.0,easyBike_reverse4.3,easyBike,29.99,pa_2,8335.72
370.0,easyBike_reverse1.4,easyBike,30.0,pa_2,9092.21
371.0,eRickshaw_reverse3.1,eRickshaw,30.0,pa_2,5060.7
387.0,easyBike_reverse1.5,easyBike,29.97,pa_2,9092.21
530.0,eRickshaw_forward1.1,eRickshaw,29.57,pa_6_rev,7619.14
548.0,eRickshaw_forward1.2,eRickshaw,29.84,pa_8,9009.48
600.0,eRickshaw_forward2.2,eRickshaw,29.81,pa_3_rev,7318.44
