timestep_sec,vehicle_id,vehicle_type,current_soc_percent,nearest_station,route_length_m,slot_availability
1.0,easyBike_forward1.0,easyBike,26.25,pa_2,850.0,charging
1.0,easyBike_forward2.0,easyBike,26.25,pa_2,850.0,charging
1.0,easyBike_forward3.0,easyBike,26.25,pa_6,711.44,charging
1.0,easyBike_reverse1.0,easyBike,26.25,pa_3_rev,2216.87,charging
1.0,easyBike_reverse2.0,easyBike,26.25,pa_8_rev,1672.7,charging
1.0,easyBike_reverse3.0,easyBike,26.25,pa_8_rev,1672.7,charging
3.0,easyBike_forward4.0,easyBike,26.25,pa_2,850.0,charging
3.0,easyBike_reverse4.0,easyBike,26.25,pa_8_rev,1672.7,charging
41.0,easyBike_reverse1.1,easyBike,26.25,pa_3_rev,2216.87,charging
46.0,easyBike_reverse2.1,easyBike,26.25,pa_8_rev,1672.7,charging
52.0,easyBike_forward1.1,easyBike,26.25,pa_2,850.0,charging
52.0,easyBike_reverse3.1,easyBike,26.25,pa_8_rev,1672.7,charging
61.0,easyBike_forward2.1,easyBike,26.25,pa_2,850.0,charging
61.0,easyBike_reverse4.1,easyBike,26.25,pa_8_rev,1672.7,charging
73.0,easyBike_forward3.1,easyBike,26.25,pa_6,711.44,charging
81.0,easyBike_forward4.1,easyBike,26.25,pa_2,850.0,charging
81.0,easyBike_reverse1.2,easyBike,26.25,pa_3_rev,2216.87,charging
91.0,easyBike_reverse2.2,easyBike,26.25,pa_8_rev,1672.7,charging
103.0,easyBike_forward1.2,easyBike,26.25,pa_2,850.0,charging
103.0,easyBike_reverse3.2,easyBike,26.25,pa_8_rev,1672.7,charging
121.0,easyBike_forward2.2,easyBike,26.25,pa_2,850.0,charging
121.0,easyBike_reverse1.3,easyBike,26.25,pa_3_rev,2216.87,charging
121.0,easyBike_reverse4.2,easyBike,26.25,pa_8_rev,1672.7,charging
136.0,easyBike_reverse2.3,easyBike,26.25,pa_8_rev,1672.7,charging
145.0,easyBike_forward3.2,easyBike,26.25,pa_6,711.44,charging
155.0,easyBike_forward1.3,easyBike,26.25,pa_3,1668.35,charging
155.0,easyBike_reverse3.3,easyBike,26.25,pa_8_rev,1672.7,charging
161.0,easyBike_forward4.2,easyBike,26.25,pa_3,1668.35,charging
161.0,easyBike_reverse1.4,easyBike,26.25,pa_3_rev,2216.87,charging
181.0,easyBike_forward2.3,easyBike,26.25,pa_3,1668.35,charging
181.0,easyBike_reverse2.4,easyBike,26.25,pa_8_rev,1672.7,charging
183.0,easyBike_reverse4.3,easyBike,26.25,pa_8_rev,1672.7,charging
201.0,easyBike_reverse1.5,easyBike,26.25,pa_3_rev,2216.87,charging
206.0,easyBike_forward1.4,easyBike,26.25,pa_3,1668.35,charging
206.0,easyBike_reverse3.4,easyBike,26.25,pa_7_rev,2196.0,charging
217.0,easyBike_forward3.3,easyBike,26.25,pa_6,711.44,charging
226.0,easyBike_reverse2.5,easyBike,26.25,pa_7_rev,2196.0,charging
241.0,easyBike_forward2.4,easyBike,26.25,pa_3,1668.35,charging
241.0,easyBike_reverse1.6,easyBike,26.25,pa_3_rev,2216.87,charging
241.0,easyBike_reverse4.4,easyBike,26.25,pa_7_rev,2196.0,charging
243.0,easyBike_forward4.3,easyBike,26.25,pa_3,1668.35,charging
258.0,easyBike_forward1.5,easyBike,26.25,pa_3,1668.35,charging
258.0,easyBike_reverse3.5,easyBike,26.25,pa_7_rev,2196.0,charging
268.0,eRickshaw_reverse2.0,eRickshaw,30.0,pa_3_rev,800.0,charging
269.0,eRickshaw_forward1.0,eRickshaw,30.0,pa_7_rev,3512.01,charging
271.0,easyBike_reverse2.6,easyBike,26.25,pa_7_rev,2196.0,charging
273.0,eRickshaw_forward3.0,eRickshaw,30.0,pa_8,900.0,charging
273.0,eRickshaw_reverse3.0,eRickshaw,30.0,pa_7_rev,500.0,charging
