timestep_sec,station_id,station_edge,charging_capacity,waiting_capacity,vehicles_charging,vehicles_waiting,charging_vehicle_ids,waiting_vehicle_ids,charging_times_sec,waiting_times_sec,total_power_load_kW,charging_utilization_percent,waiting_utilization_percent,available_charging_slots,available_waiting_slots
1.0,pa_2,E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
1.0,pa_2_rev,NEG_E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
1.0,pa_3,E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
1.0,pa_3_rev,NEG_E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
1.0,pa_6,E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
1.0,pa_6_rev,NEG_E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
1.0,pa_7,E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
1.0,pa_7_rev,NEG_E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
1.0,pa_8,E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
1.0,pa_8_rev,NEG_E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
2.0,pa_2,E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
2.0,pa_2_rev,NEG_E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
2.0,pa_3,E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
2.0,pa_3_rev,NEG_E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
2.0,pa_6,E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
2.0,pa_6_rev,NEG_E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
2.0,pa_7,E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
2.0,pa_7_rev,NEG_E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
2.0,pa_8,E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
2.0,pa_8_rev,NEG_E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
3.0,pa_2,E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
3.0,pa_2_rev,NEG_E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
3.0,pa_3,E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
3.0,pa_3_rev,NEG_E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
3.0,pa_6,E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
3.0,pa_6_rev,NEG_E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
3.0,pa_7,E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
3.0,pa_7_rev,NEG_E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
3.0,pa_8,E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
3.0,pa_8_rev,NEG_E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
4.0,pa_2,E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
4.0,pa_2_rev,NEG_E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
4.0,pa_3,E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
4.0,pa_3_rev,NEG_E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
4.0,pa_6,E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
4.0,pa_6_rev,NEG_E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
4.0,pa_7,E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
4.0,pa_7_rev,NEG_E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
4.0,pa_8,E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
4.0,pa_8_rev,NEG_E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
5.0,pa_2,E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
5.0,pa_2_rev,NEG_E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
5.0,pa_3,E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
5.0,pa_3_rev,NEG_E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
5.0,pa_6,E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
5.0,pa_6_rev,NEG_E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
5.0,pa_7,E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
5.0,pa_7_rev,NEG_E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
5.0,pa_8,E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
5.0,pa_8_rev,NEG_E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
6.0,pa_2,E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
6.0,pa_2_rev,NEG_E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
6.0,pa_3,E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
6.0,pa_3_rev,NEG_E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
