timestep_sec,minute_of_hour,vehicle_id,speed_ms,acceleration_ms2,soc_percent,energy_consumed_Wh,lane_id,status,current_station_id,station_load_kW,station_vehicles_charging,station_queue_length,station_utilization_percent,system_total_vehicles,system_moving_vehicles,system_charging_vehicles,system_waiting_vehicles,system_total_load_kW,system_avg_speed_ms,system_avg_soc_percent,system_avg_moving_speed_ms,system_avg_moving_soc_percent,system_avg_charging_soc_percent,system_avg_charging_duration_sec
1.0,0,easyBike_001,0.82,0.92,43.17,0.05,E0_0,driving,none,0,0,0,0.0,8,8,0,0,0.0,0.87,38.35,0.87,38.35,0.0,0.0
1.0,0,easyBike_002,0.84,1.15,42.0,0.06,E0_1,driving,none,0,0,0,0.0,8,8,0,0,0.0,0.87,38.35,0.87,38.35,0.0,0.0
1.0,0,easyBike_003,0.81,0.49,40.83,0.05,E4_0,driving,none,0,0,0,0.0,8,8,0,0,0.0,0.87,38.35,0.87,38.35,0.0,0.0
1.0,0,easyBike_005,0.88,0.77,38.5,0.06,NEG_E3_0,driving,none,0,0,0,0.0,8,8,0,0,0.0,0.87,38.35,0.87,38.35,0.0,0.0
1.0,0,easyBike_006,0.9,1.13,37.33,0.06,NEG_E8_1,driving,none,0,0,0,0.0,8,8,0,0,0.0,0.87,38.35,0.87,38.35,0.0,0.0
1.0,0,easyBike_007,0.88,0.95,36.17,0.06,NEG_E8_0,driving,none,0,0,0,0.0,8,8,0,0,0.0,0.87,38.35,0.87,38.35,0.0,0.0
1.0,0,easyBike_011,0.94,0.97,40.0,0.07,E4_1,driving,none,0,0,0,0.0,8,8,0,0,0.0,0.87,38.35,0.87,38.35,0.0,0.0
1.0,0,easyBike_013,0.89,1.16,28.83,0.06,NEG_E3_1,driving,none,0,0,0,0.0,8,8,0,0,0.0,0.87,38.35,0.87,38.35,0.0,0.0
2.0,0,easyBike_001,1.4,0.36,43.17,0.16,E0_0,driving,none,0,0,0,0.0,8,8,0,0,0.0,1.58,38.35,1.58,38.35,0.0,0.0
2.0,0,easyBike_002,1.61,0.82,42.0,0.2,E0_1,driving,none,0,0,0,0.0,8,8,0,0,0.0,1.58,38.35,1.58,38.35,0.0,0.0
2.0,0,easyBike_003,1.55,0.33,40.83,0.19,E4_0,driving,none,0,0,0,0.0,8,8,0,0,0.0,1.58,38.35,1.58,38.35,0.0,0.0
2.0,0,easyBike_005,1.65,0.87,38.5,0.21,NEG_E3_0,driving,none,0,0,0,0.0,8,8,0,0,0.0,1.58,38.35,1.58,38.35,0.0,0.0
2.0,0,easyBike_006,1.59,0.97,37.33,0.2,NEG_E8_1,driving,none,0,0,0,0.0,8,8,0,0,0.0,1.58,38.35,1.58,38.35,0.0,0.0
2.0,0,easyBike_007,1.6,0.62,36.17,0.2,NEG_E8_0,driving,none,0,0,0,0.0,8,8,0,0,0.0,1.58,38.35,1.58,38.35,0.0,0.0
2.0,0,easyBike_011,1.67,0.59,40.0,0.21,E4_1,driving,none,0,0,0,0.0,8,8,0,0,0.0,1.58,38.35,1.58,38.35,0.0,0.0
2.0,0,easyBike_013,1.56,0.43,28.83,0.19,NEG_E3_1,driving,none,0,0,0,0.0,8,8,0,0,0.0,1.58,38.35,1.58,38.35,0.0,0.0
3.0,0,easyBike_001,2.08,0.64,43.16,0.34,E0_0,driving,none,0,0,0,0.0,14,14,0,0,0.0,1.44,35.45,1.44,35.45,0.0,0.0
