timestep_sec,vehicle_id,current_edge,current_lane,current_speed_ms,current_soc_percent,battery_capacity_wh,priority,nearest_station_id,nearest_station_name,nearest_distance_m,nearest_edge,nearest_lane,nearest_power_kw,nearest_charging_available,nearest_waiting_available,nearest_occupancy_rate,2nd_nearest_station_id,2nd_nearest_station_name,2nd_nearest_distance_m,2nd_nearest_edge,2nd_nearest_lane,2nd_nearest_power_kw,2nd_nearest_charging_available,2nd_nearest_waiting_available,2nd_nearest_occupancy_rate,recommended_station,recommendation_reason
1.0,easyBike_001,E0,E0_0,0.82,43.17,12000.0,MEDIUM,pa_2_rev,Station pa_2_rev,9.7,NEG_E0,NEG_E0_0,20.0,4,3,0.0,pa_6_rev,Station pa_6_rev,271.27,NEG_E5,NEG_E5_0,25.0,5,3,0.0,Station pa_2_rev,Nearest with charging slots
1.0,easyBike_002,E0,E0_1,0.84,42.0,12000.0,MEDIUM,pa_2_rev,Station pa_2_rev,6.56,NEG_E0,NEG_E0_0,20.0,4,3,0.0,pa_6_rev,Station pa_6_rev,268.08,NEG_E5,NEG_E5_0,25.0,5,3,0.0,Station pa_2_rev,Nearest with charging slots
1.0,easyBike_003,E4,E4_0,0.81,40.83,12000.0,MEDIUM,pa_2_rev,Station pa_2_rev,3.71,NEG_E0,NEG_E0_0,20.0,4,3,0.0,pa_6_rev,Station pa_6_rev,258.37,NEG_E5,NEG_E5_0,25.0,5,3,0.0,Station pa_2_rev,Nearest with charging slots
1.0,easyBike_005,NEG_E3,NEG_E3_0,0.88,38.5,12000.0,MEDIUM,pa_8,Station pa_8,164.62,E7,E7_0,25.0,5,3,0.0,pa_3,Station pa_3,405.96,E1,E1_0,20.0,4,3,0.0,Station pa_8,Nearest with charging slots
1.0,easyBike_006,NEG_E8,NEG_E8_1,0.9,37.33,12000.0,MEDIUM,pa_8,Station pa_8,162.51,E7,E7_0,25.0,5,3,0.0,pa_3,Station pa_3,413.99,E1,E1_0,20.0,4,3,0.0,Station pa_8,Nearest with charging slots
1.0,easyBike_007,NEG_E8,NEG_E8_0,0.88,36.17,12000.0,MEDIUM,pa_8,Station pa_8,162.71,E7,E7_0,25.0,5,3,0.0,pa_3,Station pa_3,417.13,E1,E1_0,20.0,4,3,0.0,Station pa_8,Nearest with charging slots
1.0,easyBike_011,E4,E4_1,0.94,40.0,12000.0,MEDIUM,pa_2_rev,Station pa_2_rev,5.91,NEG_E0,NEG_E0_0,20.0,4,3,0.0,pa_6_rev,Station pa_6_rev,258.31,NEG_E5,NEG_E5_0,25.0,5,3,0.0,Station pa_2_rev,Nearest with charging slots
1.0,easyBike_013,NEG_E3,NEG_E3_1,0.89,28.83,12000.0,HIGH,pa_8,Station pa_8,167.78,E7,E7_0,25.0,5,3,0.0,pa_3,Station pa_3,407.14,E1,E1_0,20.0,4,3,0.0,Station pa_8,Nearest with charging slots
3.0,easyBike_004,E0,E0_1,0.31,39.67,12000.0,MEDIUM,pa_2_rev,Station pa_2_rev,6.52,NEG_E0,NEG_E0_0,20.0,4,3,0.0,pa_6_rev,Station pa_6_rev,268.09,NEG_E5,NEG_E5_0,25.0,5,3,0.0,Station pa_2_rev,Nearest with charging slots
3.0,easyBike_008,NEG_E8,NEG_E8_1,0.33,35.0,12000.0,MEDIUM,pa_8,Station pa_8,162.59,E7,E7_0,25.0,5,3,0.0,pa_3,Station pa_3,414.0,E1,E1_0,20.0,4,3,0.0,Station pa_8,Nearest with charging slots
3.0,easyBike_009,E0,E0_0,0.11,36.67,12000.0,MEDIUM,pa_2_rev,Station pa_2_rev,9.67,NEG_E0,NEG_E0_0,20.0,4,3,0.0,pa_6_rev,Station pa_6_rev,271.28,NEG_E5,NEG_E5_0,25.0,5,3,0.0,Station pa_2_rev,Nearest with charging slots
3.0,easyBike_015,NEG_E8,NEG_E8_0,0.34,26.5,12000.0,HIGH,pa_8,Station pa_8,162.78,E7,E7_0,25.0,5,3,0.0,pa_3,Station pa_3,417.14,E1,E1_0,20.0,4,3,0.0,Station pa_8,Nearest with charging slots
3.0,easyBike_019,E4,E4_1,0.34,24.17,12000.0,HIGH,pa_2_rev,Station pa_2_rev,5.78,NEG_E0,NEG_E0_0,20.0,4,3,0.0,pa_6_rev,Station pa_6_rev,258.54,NEG_E5,NEG_E5_0,25.0,5,3,0.0,Station pa_2_rev,Nearest with charging slots
3.0,easyBike_021,NEG_E3,NEG_E3_0,0.36,27.5,12000.0,HIGH,pa_8,Station pa_8,164.6,E7,E7_0,25.0,5,3,0.0,pa_3,Station pa_3,406.08,E1,E1_0,20.0,4,3,0.0,Station pa_8,Nearest with charging slots
6.0,easyBike_010,E0,E0_1,0.7,38.33,12000.0,MEDIUM,pa_2_rev,Station pa_2_rev,6.54,NEG_E0,NEG_E0_0,20.0,4,3,0.0,pa_6_rev,Station pa_6_rev,268.08,NEG_E5,NEG_E5_0,25.0,5,3,0.0,Station pa_2_rev,Nearest with charging slots
6.0,easyBike_014,NEG_E8,NEG_E8_1,0.6,27.67,12000.0,HIGH,pa_8,Station pa_8,162.56,E7,E7_0,25.0,5,3,0.0,pa_3,Station pa_3,414.0,E1,E1_0,20.0,4,3,0.0,Station pa_8,Nearest with charging slots
6.0,easyBike_017,E0,E0_0,0.45,24.17,12000.0,HIGH,pa_2_rev,Station pa_2_rev,9.68,NEG_E0,NEG_E0_0,20.0,4,3,0.0,pa_6_rev,Station pa_6_rev,271.28,NEG_E5,NEG_E5_0,25.0,5,3,0.0,Station pa_2_rev,Nearest with charging slots
8.0,easyBike_012,E0,E0_1,0.0,41.67,12000.0,MEDIUM,pa_2_rev,Station pa_2_rev,6.52,NEG_E0,NEG_E0_0,20.0,4,3,0.0,pa_6_rev,Station pa_6_rev,268.09,NEG_E5,NEG_E5_0,25.0,5,3,0.0,Station pa_2_rev,Nearest with charging slots
8.0,easyBike_016,NEG_E8,NEG_E8_1,0.0,25.33,12000.0,HIGH,pa_8,Station pa_8,162.6,E7,E7_0,25.0,5,3,0.0,pa_3,Station pa_3,414.01,E1,E1_0,20.0,4,3,0.0,Station pa_8,Nearest with charging slots
11.0,easyBike_018,E0,E0_1,0.46,23.0,12000.0,HIGH,pa_2_rev,Station pa_2_rev,6.53,NEG_E0,NEG_E0_0,20.0,4,3,0.0,pa_6_rev,Station pa_6_rev,268.08,NEG_E5,NEG_E5_0,25.0,5,3,0.0,Station pa_2_rev,Nearest with charging slots
